fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,May,12,HARYANA,1202,YAMUNANAGAR,57800,552.2221416,18,0,0,34,414,349,21764,5818,9241,0,0,0,120.1856269,1164,1489,13179,23739,0,47420,75808,383,120.1856269,7353,25,63.34,9.4,99.32,NA
2024-2025,May,12,HARYANA,1205,KARNAL,137340,1892.220689,10,1,0,103,281,1380,6448,3809,51267,0,0,0,122.01039,635,735,44183,91317,0,91323,166122,1483,122.01039,4721,22,42.47,35.32,99.92,NA
2024-2025,May,12,HARYANA,1210,GURUGRAM,15775,394.0154976,18,0,0,12,143,166,4904,2502,1930,0,0,0,19.32252,261,275,2943,3778,0,14065,18221,178,19.32252,3323,0,27.42,0,100,NA
2024-2025,May,12,HARYANA,1211,REWARI,24230,897.6614015,14,0,0,3,345,494,3482,2414,8473,0,0,0,31.25657,242,271,7311,13551,0,39959,76915,497,31.25657,2535,7,78.7,20.04,100,NA
2024-2025,May,12,HARYANA,1214,JIND,104350,496.8777031,9,5,0.00425,234,91,2210,43137,23384,48783,0,0,0,214.3423848,4524,5395,39451,85894,0,67986,136808,2444,214.3381348,29681,14,31.09,33.4,99.8,NA
2024-2025,May,12,HARYANA,1217,PANCHKULA,23850,395.6211561,14,0,0,53,70,258,17593,5884,2899,0,0,0,69.60163,1189,1293,6229,10681,0,17106,25563,311,69.60163,6330,28,48.69,18.78,99.56,NA
2024-2025,May,12,HARYANA,1220,JHAJJAR,80600,467.9191185,13,0,0,86,164,432,8939,4112,14375,0,0,0,41.82729,653,757,15574,28016,0,63442,106511,518,41.82729,5330,22,48.37,40.23,98.4,NA
2024-2025,May,12,HARYANA,1222,CHARKI DADRI,26550,667.8551671,10,0,0,26,119,478,6104,2354,7095,0,0,0,40.7658794,598,719,9190,16447,0,30537,53130,504,40.7658794,3532,1,79.27,2.28,99.93,NA
2024-2025,June,12,HARYANA,1213,BHIWANI,172350,462.6065837,14,6,243.1801252,284,73,1763,101627,53627,41512,0,0,27.31027,740.623588,7099,8743,36064,76665,0,85962,167800,2047,470.1331928,65726,2,58.83,19.22,102.86,NA
2024-2025,June,12,HARYANA,1218,FATEHABAD,261940,447.7421622,12,31,870.549989,433,11,5432,294540,179011,82939,0,0,68.78146,2258.111214,23263,33661,61034,132784,0,74908,154868,5865,1318.779765,185518,11,49.69,11.64,101.65,NA
2024-2025,June,12,HARYANA,1221,PALWAL,29385,496.63217,23,1,0,3,238,950,26820,924,2064,0,0,3.71226,136.909008,1127,1393,10531,14642,0,39113,53471,953,133.196748,10849,30,34.35,2.65,151.48,NA
2024-2025,July,12,HARYANA,1201,AMBALA,51525,376.5765502,13,1,2.6381695,139,289,481,17914,10467,9771,0,0,22.4973,92.5953927,1375,1544,9992,16228,0,37373,52245,620,67.4599232,11639,35,54.93,30.96,99.84,NA
2024-2025,July,12,HARYANA,1207,SONIPAT,202463,487.3886167,17,0,180.0557308,93,181,460,49938,21628,12099,0,0,28.55001,451.9978682,2792,3348,14604,23773,0,44416,65037,553,243.3921274,31780,17,59.82,35.38,99.88,NA
